"muniYear","agua","dren","elec"
"04006_1998",5245,1,8250
"04006_1999",5665,2,8580
"04006_2000",5665,2,5858
"04006_2001",5665,2,6109
"04006_2002",5665,2,6269
"04006_2003",5873,2,6349
"04006_2004",6169,2,6730
"04006_2005",6258,2,6925
"04006_2006",6382,2,8191
"04006_2007",6823,3,8566
"04006_2008",6823,3,10726
"04006_2009",6926,3,10974
"04006_2010",7026,3,11069
"04006_2011",7026,3,8688
"04006_2012",7315,3,9076
"04006_2013",7455,3,9861
"04006_2014",7498,3,10762
"04006_2015",8009,3,10507
"04007_1994",1014,0,0
"04007_1995",954,0,0
"04007_1996",1014,0,0
"04007_1997",1031,0,0
"04007_1998",1105,1,2029
"04007_1999",1105,1,1352.66666666667
"04007_2000",1182,1,1352.66666666667
"04007_2001",1182,1,1352.66666666667
"04007_2002",1182,1,1352.66666666667
"04007_2003",1182,1,1352.66666666667
"04007_2004",1338,1,1352.66666666667
"04007_2005",1338,1,1352.66666666667
"04007_2006",1388,1,1866.25
"04007_2007",1388,1,2947.66666666667
"04007_2008",1388,1,3017.8
"04007_2009",1279,1,3017.8
"04007_2010",1279,1,3017.8
"04007_2011",1279,1,3017.8
"04007_2012",1388,1,3017.8
"04007_2013",1498,1,3017.8
"04007_2014",1498,1,3017.8
"04007_2015",1498,1,3407
"04008_1994",1056,0,2434
"04008_1995",1100,0,1461
"04008_1996",1100,0,1539
"04008_1997",1438,1,1572
"04008_1998",1458,1,1578
"04008_1999",1520,2,1631
"04008_2000",1520,2,1583
"04008_2001",1550,2,1653
"04008_2002",1550,2,1707
"04008_2003",1550,2,1689
"04008_2004",1969,2,1780
"04008_2005",1985,2,1892
"04008_2006",1985,2,1993
"04008_2007",2157,2,2260
"04008_2008",2157,2,2119
"04008_2009",2174,2,2193
"04008_2010",2594,2,2502
"04008_2011",2728,2,2395
"04008_2012",2817,2,2604
"04008_2013",2862,2,2852
"04008_2014",3154,2,3115
"04008_2015",3182,2,3073
"04009_1994",7841,1,12938
"04009_1995",8007,1,14280
"04009_1996",9021,1,15036
"04009_1997",9107,1,15151
"04009_1998",8517,2,10393
"04009_1999",9008,2,10349
"04009_2000",9146,2,9688
"04009_2001",10308,2,10104
"04009_2002",10333,2,10684
"04009_2003",10772,2,10662
"04009_2004",10906,2,11187
"04009_2005",11281,2,11902
"04009_2006",11477,2,12414
"04009_2007",11728,2,12293
"04009_2008",11728,2,17963
"04009_2009",12416,2,17993
"04009_2010",12748,2,18498
"04009_2011",12751,2,14964
"04009_2012",13312,2,15763
"04009_2013",13771,2,15943
"04009_2014",14405,2,17779
"04009_2015",14480,2,17481
"04010_1994",0,0,0
"04010_1995",0,0,0
"04010_1996",0,0,0
"04010_1997",1140,0,2227
"04010_1998",632,0,4454
"04010_1999",680,1,4436
"04010_2000",680,1,1520
"04010_2001",680,1,1584
"04010_2002",733,1,1861
"04010_2003",733,1,2079
"04010_2004",1522,1,2534
"04010_2005",1572,1,2694
"04010_2006",2421,1,2840
"04010_2007",3885,1,3219
"04010_2008",3885,1,4052
"04010_2009",4384,1,4535
"04010_2010",4384,1,4526
"04010_2011",5419,1,4515
"04010_2012",5765,1,4903
"04010_2013",5775,1,5454
"04010_2014",6467,1,6237
"04010_2015",6735,1,5810
"04011_1994",0,0,0
