"muniYear","agua","dren","elec"
"02004_1996",249026,1,259481
"02004_1997",284363,NA,271705
"02004_1998",305379,NA,295692
"02004_1999",317771,NA,310732
"02004_2000",333888,NA,324602
"02004_2001",349853,2,338240
"02004_2002",359465,2,350385
"02004_2003",379263,2,370879
"02004_2004",404080,2,387546
"02004_2005",389881,1,409743
"02004_2006",422003,1,431393
"02004_2007",444646,5,455640
"02004_2008",478223,2,475342
"02004_2009",497245,2,481249
"02004_2010",514115,3,486956
"02004_2011",528866,3,503114
"02004_2012",577698,4,518532
"02004_2013",590497,4,532829
"02004_2014",599373,4,543139
"02004_2015",613850,4,568746
"02005_1994",NA,NA,NA
"02005_1995",NA,NA,NA
"02005_1996",8033,1,21829
"02005_1997",NA,NA,23552
"02005_1998",NA,NA,27005
"02005_1999",NA,NA,21228
"02005_2000",NA,NA,22315
"02005_2001",NA,2,23261
"02005_2002",NA,2,23125
"02005_2003",NA,2,24432
"02005_2004",NA,2,25296
"02005_2005",25518,4,26437
"02005_2006",27608,4,28371
"02005_2007",27539,NA,30692
"02005_2008",29967,3,31939
"02005_2009",29483,3,32691
"02005_2010",30226,3,33017
"02005_2011",31096,3,34009
"02005_2012",0,4,35554
"02005_2013",0,4,36909
"02005_2014",0,4,38518
"02005_2015",0,4,43098
"03001_1994",17665,2,15093
"03001_1995",17957,2,15734
"03001_1996",18212,2,16134
"03001_1997",17572,3,16786
"03001_1998",17572,2,17268
"03001_1999",17920,3,18046
"03001_2000",18312,3,18351
"03001_2001",18686,3,18782
"03001_2002",19158,3,19382
"03001_2003",19176,3,19742
"03001_2004",19496,4,20503
"03001_2005",19524,NA,21153
"03001_2006",20189,4,21787
"03001_2007",19496,4,22720
"03001_2008",21047,5,23408
"03001_2009",21376,5,23870
"03001_2010",21529,6,24200
"03001_2011",23622,6,24979
"03001_2012",24217,6,25771
"03001_2013",24902,6,26417
"03001_2014",25648,7,26919
"03001_2015",26028,8,27634
"03002_1994",8824,3,8428
"03002_1995",9131,3,8762
"03002_1996",9499,3,9592
"03002_1997",9289,3,9856
"03002_1998",9655,3,10074
"03002_1999",9774,3,10735
"03002_2000",10211,3,11213
"03002_2001",10515,3,11567
"03002_2002",10096,3,12112
"03002_2003",10855,3,12585
"03002_2004",NA,NA,13516
"03002_2005",10966,NA,13888
"03002_2006",11177,3,15396
"03002_2007",10955,NA,17012
"03002_2008",11468,3,18190
"03002_2009",11963,3,18713
"03002_2010",11995,3,18863
"03002_2011",13292,3,19835
"03002_2012",NA,3,20657
"03002_2013",NA,3,21517
"03002_2014",NA,3,21932
"03002_2015",NA,NA,22521
"03003_1994",43816,2,46481
"03003_1995",44946,2,47961
"03003_1996",46005,2,48816
"03003_1997",48046,2,50806
"03003_1998",49136,4,52940
"03003_1999",51188,4,55885
"03003_2000",52620,4,58388
"03003_2001",54788,4,61482
"03003_2002",58234,4,65757
"03003_2003",59349,5,68973
"03003_2004",63369,4,73343
"03003_2005",62287,4,77166
"03003_2006",71499,4,81166
