"muniYear","homicidios"
"05013_2013",1
"05013_2014",6
"05013_2015",NA
"05014_1994",4
"05014_1995",NA
"05014_1996",2
"05014_1997",NA
"05014_1998",1
"05014_1999",1
"05014_2000",NA
"05014_2001",2
"05014_2002",NA
"05014_2003",NA
"05014_2004",NA
"05014_2005",5
"05014_2006",2
"05014_2007",1
"05014_2008",2
"05014_2009",NA
"05014_2010",1
"05014_2011",2
"05014_2012",1
"05014_2013",NA
"05014_2014",1
"05014_2015",1
"05015_1994",1
"05015_1995",NA
"05015_1996",NA
"05015_1997",NA
"05015_1998",NA
"05015_1999",2
"05015_2000",1
"05015_2001",NA
"05015_2002",NA
"05015_2003",NA
"05015_2004",NA
"05015_2005",NA
"05015_2006",NA
"05015_2007",NA
"05015_2008",NA
"05015_2009",NA
"05015_2010",NA
"05015_2011",NA
"05015_2012",NA
"05015_2013",2
"05015_2014",1
"05015_2015",NA
"05016_1994",NA
"05016_1995",NA
"05016_1996",NA
"05016_1997",NA
"05016_1998",NA
"05016_1999",NA
"05016_2000",NA
"05016_2001",NA
"05016_2002",NA
"05016_2003",2
"05016_2004",NA
"05016_2005",NA
"05016_2006",NA
"05016_2007",NA
"05016_2008",NA
"05016_2009",NA
"05016_2010",NA
"05016_2011",NA
"05016_2012",NA
"05016_2013",NA
"05016_2014",NA
"05016_2015",NA
"05017_1994",17
"05017_1995",15
"05017_1996",15
"05017_1997",9
"05017_1998",9
"05017_1999",9
"05017_2000",7
"05017_2001",5
"05017_2002",5
"05017_2003",6
"05017_2004",5
"05017_2005",12
"05017_2006",2
"05017_2007",3
"05017_2008",9
"05017_2009",24
"05017_2010",21
"05017_2011",16
"05017_2012",33
"05017_2013",54
"05017_2014",11
"05017_2015",13
"05018_1994",6
"05018_1995",8
"05018_1996",8
"05018_1997",7
"05018_1998",11
"05018_1999",12
"05018_2000",3
"05018_2001",10
"05018_2002",3
"05018_2003",13
"05018_2004",13
"05018_2005",15
"05018_2006",7
"05018_2007",5
"05018_2008",3
"05018_2009",14
"05018_2010",6
"05018_2011",33
"05018_2012",31
"05018_2013",50
"05018_2014",44
"05018_2015",28
"05019_1994",NA
"05019_1995",NA
"05019_1996",NA
"05019_1997",1
"05019_1998",NA
"05019_1999",1
"05019_2000",1
