"muniYear","tot_del","hom"
"04002_1995",5452,27
"04002_1996",5020,58.5
"04002_1997",4111,75.6666666666667
"04002_1998",3952,90
"04002_1999",2687,47
"04002_2000",2087,48
"04002_2001",1175,36
"04002_2002",813,35
"04002_2003",496,28
"04002_2004",242,16
"04002_2005",279,12
"04002_2006",559,23
"04002_2007",392,6
"04002_2008",369,20
"04002_2009",393,26
"04002_2010",926,23
"04003_1994",4583,24
"04003_1995",5014,33
"04003_1996",5111,47.5
"04003_1997",4743,55.6666666666667
"04003_1998",4909,60
"04003_1999",4352,47
"04003_2000",2475,31
"04003_2001",1871,32
"04003_2002",1374,36
"04003_2003",1020,43
"04003_2004",932,39
"04003_2005",737,52
"04003_2006",724,28
"04003_2007",619,67
"04003_2008",553,26
"04003_2009",579,36
"04003_2010",655,34
"04004_1994",808,34.6666666666667
"04004_1995",922,34.75
"04004_1996",820,30.25
"04004_1997",659,29
"04004_1998",682,35
"04004_1999",565,17
"04004_2000",375,29
"04004_2001",218,12
"04004_2002",195,21
"04004_2003",203,22
"04004_2004",243,20
"04004_2005",141,19
"04004_2006",194,37
"04004_2007",215,20
"04004_2008",187,27
"04004_2009",169,17
"04004_2010",159,24
"04005_1994",254,21.6666666666667
"04005_1995",243,18.5
"04005_1996",161,12.25
"04005_1997",131,8.33333333333333
"04005_1998",138,9
"04005_1999",55,7
"04005_2000",59,2
"04005_2001",53,3
"04005_2002",34,8
"04005_2003",29,5
"04005_2004",47,1
"04005_2005",34,1
"04005_2006",75,1
"04005_2007",80,4
"04005_2008",42,3
"04005_2009",42,1
"04005_2010",27,1
"04006_1994",115,1
"04006_1995",209,1.75
"04006_1996",235,2.25
"04006_1997",85,2.66666666666667
"04006_1998",79,4
"04006_1999",49,0
"04006_2000",77,1
"04006_2001",48,2
"04006_2002",53,1
"04006_2003",29,1
"04006_2004",38,1
"04006_2005",36,4
"04006_2006",48,5
"04006_2007",32,3
"04006_2008",37,3
"04006_2009",31,10
"04006_2010",42,4
"04007_1994",116,6
"04007_1995",124,5.75
"04007_1996",131,4
"04007_1997",159,4
"04007_1998",137,5
"04007_1999",111,2
"04007_2000",72,2
"04007_2001",48,4
"04007_2002",57,3
"04007_2003",25,3
"04007_2004",30,2
"04007_2005",41,2
"04007_2006",19,0
"04007_2007",19,2
"04007_2008",31,4
"04007_2009",23,1
"04007_2010",10,1
"04008_1994",93,1
"04008_1995",94,1
"04008_1996",56,1.25
"04008_1997",39,1.33333333333333
"04008_1998",32,1
