"CVE_MUN","IM","POB_TOT","AÑO","muniYear"
"05030",-1.921,648929,2005,"05030_2005"
"05035",-1.881,639629,2010,"05035_2010"
"05030",-2.01,578046,2000,"05030_2000"
"05035",-1.893,577477,2005,"05035_2005"
"05035",-1.983,529512,2000,"05035_2000"
"05030",-1.641,527979,1995,"05030_1995"
"05035",-1.744,508076,1995,"05035_1995"
"05035",-1.998,464825,1990,"05035_1990"
"05030",-1.893,440920,1990,"05030_1990"
"05018",-1.836,231107,2015,"05018_2015"
"05018",-1.871,216206,2010,"05018_2010"
"05018",-1.882,200160,2005,"05018_2005"
"05018",-1.97,193744,2000,"05018_2000"
"05018",-1.725,189738,1995,"05018_1995"
"05018",-2.097,178606,1990,"05018_1990"
"05025",-1.531,163595,2015,"05025_2015"
"05025",-1.711,152806,2010,"05025_2010"
"05002",-1.353,147809,2015,"05002_2015"
"05025",-1.859,143915,2005,"05025_2005"
"05002",-1.379,136755,2010,"05002_2010"
"05025",-1.986,128130,2000,"05025_2000"
"05002",-1.611,126238,2005,"05002_2005"
"05025",-1.568,116148,1995,"05025_1995"
"05002",-1.66,110487,2000,"05002_2000"
"05017",-1.098,108950,2015,"05017_2015"
"05017",-1.208,107160,2010,"05017_2010"
"05033",-0.823,106142,2015,"05033_2015"
"05033",-0.902,102650,2010,"05033_2010"
"05017",-1.076,99707,2005,"05017_2005"
"05033",-0.798,99165,1990,"05033_1990"
"05025",-1.86,98185,1990,"05025_1990"
"05033",-0.935,93677,2005,"05033_2005"
"05027",-1.73,92828,2015,"05027_2015"
"05017",-1.147,92029,2000,"05017_2000"
"05033",-0.66,91421,1995,"05033_1995"
"05033",-0.989,88343,2000,"05033_2000"
"05017",-0.679,88235,1995,"05017_1995"
"05017",-0.884,86398,1990,"05017_1990"
"05002",-1.183,81602,1995,"05002_1995"
"05010",-1.663,80991,2015,"05010_2015"
"05027",-1.705,75461,2010,"05027_2010"
"05010",-1.639,75215,2010,"05010_2010"
"05010",-1.612,70160,2005,"05010_2005"
"05020",-1.34,69102,2015,"05020_2015"
"05020",-1.391,66834,2010,"05020_2010"
"05010",-1.717,66579,2000,"05010_2000"
"05020",-1.566,65863,1990,"05020_1990"
"05010",-1.364,63847,1995,"05010_1995"
"05028",-1.678,63522,2015,"05028_2015"
"05020",-1.157,62990,1995,"05020_1995"
"05020",-1.567,62773,2000,"05020_2000"
"05020",-1.43,62710,2005,"05020_2005"
"05010",-1.734,61450,1990,"05010_1990"
"05028",-1.742,60847,2010,"05028_2010"
"05009",-1.021,58360,2015,"05009_2015"
"05027",-1.67,56708,2005,"05027_2005"
"05002",-1.585,56336,1990,"05002_1990"
"05009",-1.035,55676,2010,"05009_2010"
"05028",-1.694,53042,2005,"05028_2005"
"05028",-1.776,52379,2000,"05028_2000"
"05009",-1.083,51528,2005,"05009_2005"
"05028",-1.514,51129,1995,"05028_1995"
"05009",-0.937,50981,1990,"05009_1990"
"05009",-0.768,47510,1995,"05009_1995"
"05028",-1.8,47030,1990,"05028_1990"
"05009",-1.133,46452,2000,"05009_2000"
"05024",-1.017,45401,2010,"05024_2010"
"05024",-0.972,44799,2015,"05024_2015"
"05024",-1.115,44715,2005,"05024_2005"
"05024",-1.117,43339,2000,"05024_2000"
"05024",-0.837,43303,1995,"05024_1995"
"05032",-1.61,43232,2015,"05032_2015"
"05032",-1.7,41649,2010,"05032_2010"
"05032",-1.539,40731,1995,"05032_1995"
"05032",-1.865,40231,1990,"05032_1990"
"05032",-1.837,40138,2000,"05032_2000"
"05032",-1.7,40115,2005,"05032_2005"
"05027",-1.671,39853,2000,"05027_2000"
"05024",-0.989,39534,1990,"05024_1990"
"05027",-1.049,36440,1995,"05027_1995"
"05022",-1.401,30698,2015,"05022_2015"
"05027",-1.038,28246,1990,"05027_1990"
"05006",-1.484,28068,2015,"05006_2015"
"05022",-1.463,27928,2010,"05022_2010"
"05006",-1.453,25892,2010,"05006_2010"
"05022",-1.5,25856,2005,"05022_2005"
"05006",-1.466,23871,2005,"05006_2005"
"05031",-1.76,23587,2015,"05031_2015"
"05004",-0.849,23271,2015,"05004_2015"
"05022",-1.63,23019,2000,"05022_2000"
"05003",-1.638,22675,2010,"05003_2010"
"05003",-1.6,22654,2015,"05003_2015"
"05004",-0.72,22544,2010,"05004_2010"
"05006",-1.504,22530,2000,"05006_2000"
"05031",-1.686,22149,2010,"05031_2010"
"05006",-0.945,21924,1995,"05006_1995"
"05036",-0.38,21549,2015,"05036_2015"
"05006",-1.417,21356,1990,"05006_1990"
"05036",-0.525,21319,2010,"05036_2010"
"05036",-0.224,21238,1990,"05036_1990"
"05003",-1.785,20943,2000,"05003_2000"
"05022",-1.252,20502,1995,"05022_1995"
"05031",-1.721,20216,1990,"05031_1990"
"05003",-1.712,20153,2005,"05003_2005"
"05031",-1.761,20046,2000,"05031_2000"
"05031",-1.356,20034,1995,"05031_1995"
"05003",-1.399,19917,1995,"05003_1995"
"05004",-0.669,19622,2005,"05004_2005"
"05031",-1.682,19620,2005,"05031_2005"
"05036",-0.314,19510,1995,"05036_1995"
"05004",-0.767,19374,2000,"05004_2000"
"05036",-0.537,19328,2005,"05036_2005"
"05036",-0.523,18969,2000,"05036_2000"
"05004",-0.44,18907,1995,"05004_1995"
"05003",-1.773,18486,1990,"05003_1990"
"05004",-0.495,17414,1990,"05004_1990"
"05022",-1.555,16915,1990,"05022_1990"
"05007",-0.992,13546,2015,"05007_2015"
"05023",-0.53,13389,1995,"05023_1995"
"05038",-1.261,13257,2015,"05038_2015"
"05007",-0.912,13013,2010,"05007_2010"
"05007",-0.658,12899,1995,"05007_1995"
"05038",-1.227,12702,2010,"05038_2010"
"05038",-1.45,12664,2000,"05038_2000"
"05011",-0.624,12471,2015,"05011_2015"
"05038",-1.319,12411,2005,"05038_2005"
"05038",-1.058,12403,1995,"05038_1995"
"05007",-0.918,12302,1990,"05007_1990"
"05007",-0.931,12220,2005,"05007_2005"
"05007",-1.04,12154,2000,"05007_2000"
"05023",-0.687,12053,2000,"05023_2000"
"05011",-0.283,11966,1990,"05011_1990"
"05011",-0.29,11913,1995,"05011_1995"
"05011",-0.432,11682,2010,"05011_2010"
"05023",-0.757,11671,2015,"05023_2015"
"05011",-0.462,11316,2000,"05011_2000"
"05011",-0.377,11284,2005,"05011_2005"
"05038",-1.386,11184,1990,"05038_1990"
"05023",-0.633,10991,2010,"05023_2010"
"05014",-0.448,10243,2015,"05014_2015"
"05023",-0.659,10183,2005,"05023_2005"
"05014",-0.263,9935,2010,"05014_2010"
"05034",-1.008,9793,1990,"05034_1990"
"05014",-0.691,9768,2005,"05014_2005"
"05014",-0.598,9724,2000,"05014_2000"
"05014",-0.051,9328,1995,"05014_1995"
"05019",-1.427,8599,2015,"05019_2015"
"05014",-0.425,8253,1990,"05014_1990"
"05019",-1.523,8207,2010,"05019_2010"
"05023",-0.131,7857,1990,"05023_1990"
"05019",-1.594,7263,2000,"05019_2000"
"05019",-1.567,7221,2005,"05019_2005"
"05034",-1.014,6988,2015,"05034_2015"
"05019",-1.512,6647,1990,"05019_1990"
"05019",-1.247,6642,1995,"05019_1995"
"05021",-1.106,6614,2015,"05021_2015"
"05034",-1.077,6594,1995,"05034_1995"
"05034",-1.041,6375,2010,"05034_2010"
"05037",-1.186,6352,2015,"05037_2015"
"05021",-0.983,6335,2010,"05021_2010"
"05037",-1.286,6289,2010,"05037_2010"
"05037",-0.941,6228,1995,"05037_1995"
"05021",-0.822,6187,1995,"05021_1995"
"05037",-1.02,6159,2000,"05037_2000"
"05037",-1.313,6138,2005,"05037_2005"
"05034",-1.189,6023,2000,"05034_2000"
"05021",-1.172,5946,2000,"05021_2000"
"05037",-0.89,5866,1990,"05037_1990"
"05021",-1.001,5822,2005,"05021_2005"
"05021",-1.095,5515,1990,"05021_1990"
"05034",-1.061,5245,2005,"05034_2005"
"05026",-0.843,4041,1990,"05026_1990"
"05026",-0.598,3613,1995,"05026_1995"
"05026",-0.843,3608,2000,"05026_2000"
"05026",-0.989,3473,2010,"05026_2010"
"05026",-0.698,3379,2005,"05026_2005"
"05026",-0.819,3304,2015,"05026_2015"
"05008",-0.773,3077,2015,"05008_2015"
"05008",-0.482,2966,1990,"05008_1990"
"05008",-0.81,2901,2010,"05008_2010"
"05008",-0.46,2843,1995,"05008_1995"
"05008",-0.709,2784,2000,"05008_2000"
"05008",-0.693,2778,2005,"05008_2005"
"05012",-0.797,2374,1990,"05012_1990"
"05029",-1.077,2360,2015,"05029_2015"
"05029",-1.11,2314,2010,"05029_2010"
"05012",-0.759,2144,1995,"05012_1995"
"05012",-0.79,2091,2010,"05012_2010"
"05029",-1.081,2063,2005,"05029_2005"
"05012",-0.857,2050,2000,"05012_2000"
"05016",-1.279,2006,1990,"05016_1990"
"05029",-1.111,2006,2000,"05029_2000"
"05029",-1.118,1990,1990,"05029_1990"
"05029",-0.806,1955,1995,"05029_1995"
"05005",-0.836,1888,1990,"05005_1990"
"05012",-0.694,1877,2005,"05012_2005"
"05013",-0.887,1852,2010,"05013_2010"
"05016",-1.124,1835,2010,"05016_2010"
