"muniYear","POB_TOT"
"06010_1995",66300
"06010_1990",37842
"06005_2015",30198
"06001_2015",29599
"06001_2010",28695
"06001_2000",28574
"06001_1995",28015
"06001_1990",27782
"06005_2010",27107
"06005_2000",26771
"06005_2005",25576
"06005_1995",25462
"06001_2005",24939
"06005_1990",24458
"06003_2015",21544
"06003_2010",20888
"06004_2015",20198
"06003_2005",19495
"06004_2010",19385
"06003_2000",19384
"06004_2000",18756
"06003_1995",17601
"06004_2005",17363
"06004_1995",16939
"06003_1990",16909
"06004_1990",16019
"06008_2015",8985
"06008_2000",8466
"06008_1995",8321
"06008_1990",8191
"06008_2010",8174
"06008_2005",7478
"06006_2015",5527
"06006_2000",5478
"06006_2010",5300
"06006_1990",5242
"06006_1995",4989
"06006_2005",4759
"07101_2015",598710
"07101_2010",553374
"07101_2005",503320
"07101_2000",434143
"07101_1995",386135
"07089_2015",348156
"07089_2010",320451
"07101_1990",295608
"07089_2005",282420
"07089_2000",271674
"07089_1995",244855
"07089_1990",222405
"07059_2015",218893
"07078_2015",209591
"07059_2010",198877
"07078_2010",185917
"07059_2005",170280
"07078_2005",166460
"07059_1995",154934
"07019_2015",153448
"07059_2000",146696
"07019_2010",141013
"07078_2000",132421
"07031_2015",127914
"07052_2015",122821
"07019_2005",121263
"07059_1990",121012
"07065_2015",119826
"07078_1995",116729
"07031_2010",111554
"07052_2010",111484
"07065_2010",110918
"07019_2000",105210
"07108_2015",104833
"07027_2015",100751
"07052_1995",99320
"07108_2010",98618
"07052_2005",98374
"07065_2005",97991
"07031_2005",95907
"07019_1995",95260
"07108_2005",93023
"07061_2015",92103
"07078_1990",89335
"07097_2015",89178
"07027_2010",87603
"07023_2015",87332
"07052_1990",86586
"07052_2000",86413
"07108_2000",85957
"07065_2000",85464
"07097_2010",84594
"07017_2015",84455
"07061_2010",82059
"07108_1995",79925
"07107_2015",79003
"07019_1990",78896
"07097_2005",78516
"07097_2000",78438
"07017_2010",78114
"07065_1995",77998
"07031_2000",77686
"07096_2015",77554
"07023_2010",76941
"07099_2015",76917
"07107_2010",74477
"07097_1995",73673
"07017_2005",73668
"07027_2005",73552
"07034_2015",73436
"07108_1990",73207
"07057_2015",72967
"07099_2010",72769
"07061_2005",72426
"07096_2010",71432
"07031_1995",69946
"07057_2010",69119
"07107_2000",68685
"07107_2005",67814
"07097_1990",67491
"07023_2005",67085
"07034_2010",67012
"07031_1990",66644
